playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,rater1,rater2,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr
889,1569,16,2,1107,180.0,79.0,0,168,94,30,44,31,12,0,0,0.25,0.25,67,21,0.3417480184773629,0.00153464801856794,0.3892972176259017,0.011746520487891,2,0.33674152578984173,0.36080457485100853,0.3389903299724221,0.36179096035464936
890,217,9,3,1163,195.0,94.0,2,379,161,81,137,131,21,0,0,0.0,0.0,110,37,0.3605770852114365,0.00022948964086646402,0.5544769030221327,0.00100164730649311,1,0.34066275593925527,0.4173345148736402,0.36775934783092884,0.5744258933891466
891,217,18,3,1108,185.0,72.0,2,205,77,46,82,56,38,3,1,0.0,0.0,54,14,0.3653281647298034,0.00022948964086646402,0.5634296317296194,0.00100164730649311,1,0.34958158276727375,0.48039653793687365,0.36869099325693855,0.5817468007640278
892,1043,57,1,610,183.0,76.0,10,12,0,3,9,0,2,0,0,0.75,0.75,10,1,0.334683895844357,0.000150884729853696,0.33610096313517096,0.0005859663580006839,4,0.334683895844357,0.33610096313517096,0.334683895844357,0.336100963135171
893,1044,58,1,51,184.0,66.0,12,259,104,73,82,89,14,0,3,0.5,0.75,84,29,0.34088716277236386,0.0032968095236196103,0.4353505962604634,0.013752210497518,3,0.329657522122196,0.36933677650295044,0.33674321197112755,0.37920537537533966
894,218,18,3,1006,182.0,72.0,1,167,63,38,66,9,32,1,1,0.25,0.5,35,6,0.36836688100592346,0.00022948964086646402,0.584056815525501,0.00100164730649311,2,0.3647722453633393,0.5846395600078569,0.36957362435876673,0.5874085848339663
895,1041,1,2,1003,189.0,75.0,5,50,21,10,19,0,1,0,0,0.0,0.0,38,1,0.33662816264272116,5.45402511307639e-05,0.3359668924003008,0.000225061636579017,1,0.3366281626427213,0.33596689240030103,0.33662816264272116,0.33596689240030086
896,1042,82,0,347,184.0,75.0,2,441,201,116,124,122,20,0,1,1.0,1.0,101,23,0.34086432523936494,0.0032968095236196103,0.4255816133128741,0.013752210497518,5,0.3281985731069915,0.3621429389052416,0.3317379251755617,0.37781185422593316
897,1045,44,1,917,179.0,74.0,6,94,55,17,22,4,9,0,1,0.0,0.0,49,21,0.34897962149609757,0.00022948964086646402,0.48705337735953186,0.00100164730649311,1,0.33439228618559896,0.38517249246392127,0.34253425914068464,0.4181368151609516
898,219,45,0,371,179.0,74.0,3,286,159,60,67,11,49,2,2,0.25,0.25,93,35,0.34882436621183216,9.638668990978081e-06,0.4985083020390316,3.6880224734070796e-05,2,0.3314486390314506,0.38092084955540706,0.33594794322266447,0.41585729141454203
899,220,58,1,131,183.0,81.0,7,98,37,22,39,5,15,0,1,0.25,0.25,51,10,0.3573807248552659,0.000150884729853696,0.5250609754439475,0.0005859663580006839,2,0.3471365003492692,0.4685127185733931,0.35173971720817654,0.48051955434227106
900,221,21,0,888,182.0,75.0,9,54,25,13,16,12,5,0,0,0.25,0.25,35,9,0.35978121883786823,0.00022948964086646402,0.5093144968040073,0.00100164730649311,2,0.33822354153698525,0.402895713418906,0.3576369628964421,0.49023827105477435
901,1046,70,3,1382,177.0,72.0,0,144,65,32,47,10,21,1,2,0.25,0.5,65,7,0.35666738613371757,0.000564112354334542,0.5821786845750527,0.0026964901062936,2,0.36222469136412533,0.5773669679145302,0.3542668090318811,0.6186063731237703
902,222,37,3,837,186.0,81.0,4,43,17,10,16,1,5,0,0,0.0,0.0,27,1,0.36989359418717194,0.00022948964086646402,0.5882973115445439,0.00100164730649311,1,0.36989359418717216,0.5882973115445439,0.3698935941871719,0.5882973115445439
903,1047,57,1,570,178.0,78.0,7,160,64,42,54,13,21,1,1,0.25,0.25,84,20,0.3641235289159234,0.007074600036813891,0.5315650735527896,0.0266506853020529,2,0.32925211595272347,0.4580730959061063,0.36532667217294856,0.5374012845726807
904,1048,30,1,432,164.0,62.0,12,603,294,151,158,133,45,0,3,0.25,0.25,167,29,0.3540529885562493,0.000150884729853696,0.47999028227581636,0.0005859663580006839,2,0.33968506254342795,0.4052487951342363,0.3470261343981459,0.42195908251832825
905,1049,36,1,445,171.0,68.0,0,379,144,117,118,48,48,0,4,0.25,0.25,107,32,0.3477175456948931,0.000219256366263838,0.45797322874659746,0.000822971285640673,2,0.3373075260631472,0.392459423856751,0.33956833812336834,0.3851649241552175
906,1050,45,0,1070,182.0,81.0,12,397,209,87,101,234,84,0,2,0.0,0.25,121,43,0.35201430209539947,0.00022948964086646402,0.518671935213177,0.00100164730649311,2,0.33238071928963914,0.38380095327535424,0.34624650715724653,0.4572195691988355
907,223,12,2,1051,187.0,80.0,4,258,159,44,55,13,63,6,1,0.75,0.75,69,24,0.342682312888142,0.00236241907009793,0.4310552203784401,0.0147943895966183,4,0.32970774583335033,0.43974336979433126,0.3393033103470831,0.3710958628333946
908,1051,66,3,401,174.0,65.0,0,352,189,80,83,34,41,0,0,0.0,0.0,115,26,0.353235589586553,9.83213148637282e-05,0.5035580496338539,0.000404579006949242,1,0.3311219354605986,0.37960969571063674,0.3460238712696675,0.46216833158453063
